STATUSOFACCIDENT;DATE;ALCOHOL;TYPEOFACCIDENT;ROADTYPE;SPEED;COUNTOFPERSON;SERIOUSINJURY;NONINJURED;REGIONNAME;RMA
Finished;01.07.2013;Yes;Struck Pedestrian;Not at intersection;60 km/hr;3;1;2;METROPOLITAN NORTH WEST REGION;Local Road
Finished;02.07.2013;No;Collision with vehicle;T intersection;60 km/hr;2;1;1;METROPOLITAN SOUTH EAST REGION;Arterial Other
Finished;02.07.2013;No;Collision with a fixed object;T intersection;50 km/hr;1;1;0;METROPOLITAN NORTH WEST REGION;Local Road
Finished;02.07.2013;No;Collision with a fixed object;Not at intersection;110 km/hr;3;2;1;NORTHERN REGION;Freeway
Finished;02.07.2013;No;Collision with vehicle;Not at intersection;50 km/hr;3;0;2;METROPOLITAN NORTH WEST REGION;Local Road
Finished;02.07.2013;No;Collision with vehicle;Cross intersection;80 km/hr;10;0;8;METROPOLITAN SOUTH EAST REGION;Arterial Highway
Finished;02.07.2013;No;Collision with vehicle;Not at intersection;60 km/hr;2;0;1;METROPOLITAN SOUTH EAST REGION;Arterial Other
Finished;02.07.2013;No;Collision with vehicle;Cross intersection;60 km/hr;2;0;1;METROPOLITAN SOUTH EAST REGION;Arterial Other
Finished;02.07.2013;No;Collision with vehicle;Cross intersection;60 km/hr;4;0;3;METROPOLITAN SOUTH EAST REGION;Arterial Other
Finished;02.07.2013;No;Collision with a fixed object;Not at intersection;50 km/hr;1;0;0;METROPOLITAN NORTH WEST REGION;Local Road
Finished;02.07.2013;No;Collision with a fixed object;Cross intersection;80 km/hr;1;1;0;METROPOLITAN NORTH WEST REGION;Arterial Other
Finished;02.07.2013;Yes;Collision with a fixed object;T intersection;60 km/hr;1;0;0;SOUTH WESTERN REGION;Arterial Other
Finished;02.07.2013;No;Collision with vehicle;Not at intersection;60 km/hr;2;1;1;METROPOLITAN NORTH WEST REGION;Arterial Other
Finished;02.07.2013;Yes;Collision with vehicle;Not at intersection;80 km/hr;6;0;4;METROPOLITAN NORTH WEST REGION;Freeway
Finished;02.07.2013;Yes;Collision with a fixed object;T intersection;50 km/hr;1;0;0;METROPOLITAN NORTH WEST REGION;Local Road
Finished;02.07.2013;No;Collision with vehicle;Not at intersection;40 km/hr;2;1;1;METROPOLITAN NORTH WEST REGION;Local Road
